Area,Age,Gender,Population,
Grandview-Woodland,75-79 years,Male,280,
Grandview-Woodland,80-84 years,Male,250,
Grandview-Woodland,85+,Male,120,
Grandview-Woodland,0-4 years,Female,590,
Grandview-Woodland,5-9 years,Female,415,
Grandview-Woodland,10-14 years,Female,395,
Grandview-Woodland,15-19 years,Female,455,
Grandview-Woodland,15 years,Female,100,
Grandview-Woodland,16 years,Female,90,
Grandview-Woodland,17 years,Female,90,
Grandview-Woodland,18 years,Female,75,
Grandview-Woodland,19 years,Female,105,
Grandview-Woodland,20-24 years,Female,970,
Grandview-Woodland,25-29 years,Female,"1,640",
Grandview-Woodland,30-34 years,Female,"1,545",
Grandview-Woodland,35-39 years,Female,"1,320",
Grandview-Woodland,40-44 years,Female,"1,270",
Grandview-Woodland,45-49 years,Female,"1,055",
Grandview-Woodland,50-54 years,Female,"1,070",
Grandview-Woodland,55-59 years,Female,925,
Grandview-Woodland,60-64 years,Female,730,
Grandview-Woodland,65-69 years,Female,450,
Grandview-Woodland,70-74 years,Female,370,
Grandview-Woodland,75-79 years,Female,325,
Grandview-Woodland,80-84 years,Female,240,
Grandview-Woodland,85+,Female,230,
Hastings-Sunrise,0-4 years,Male,805,
Hastings-Sunrise,5-9 years,Male,865,
Hastings-Sunrise,10-14 years,Male,885,
Hastings-Sunrise,15-19 years,Male,990,
Hastings-Sunrise,15 years,Male,195,
Hastings-Sunrise,16 years,Male,200,
Hastings-Sunrise,17 years,Male,230,
Hastings-Sunrise,18 years,Male,190,
Hastings-Sunrise,19 years,Male,175,
Hastings-Sunrise,20-24 years,Male,"1,215",
Hastings-Sunrise,25-29 years,Male,"1,165",
Hastings-Sunrise,30-34 years,Male,"1,070",
Hastings-Sunrise,35-39 years,Male,"1,180",
Hastings-Sunrise,40-44 years,Male,"1,345",
Hastings-Sunrise,45-49 years,Male,"1,430",
Hastings-Sunrise,50-54 years,Male,"1,285",
Hastings-Sunrise,55-59 years,Male,"1,060",
Hastings-Sunrise,60-64 years,Male,950,
Hastings-Sunrise,65-69 years,Male,555,
Hastings-Sunrise,70-74 years,Male,585,
Hastings-Sunrise,75-79 years,Male,615,
Hastings-Sunrise,80-84 years,Male,400,
Hastings-Sunrise,85+,Male,255,
Hastings-Sunrise,0-4 years,Female,815,
Hastings-Sunrise,5-9 years,Female,805,
Hastings-Sunrise,10-14 years,Female,845,
Hastings-Sunrise,15-19 years,Female,885,
Hastings-Sunrise,15 years,Female,195,
Hastings-Sunrise,16 years,Female,175,
Hastings-Sunrise,17 years,Female,190,
Hastings-Sunrise,18 years,Female,170,
Hastings-Sunrise,19 years,Female,170,
Hastings-Sunrise,20-24 years,Female,"1,135",
Hastings-Sunrise,25-29 years,Female,"1,230",
Hastings-Sunrise,30-34 years,Female,"1,145",
Hastings-Sunrise,35-39 years,Female,"1,245",
Hastings-Sunrise,40-44 years,Female,"1,385",
Hastings-Sunrise,45-49 years,Female,"1,445",
